hd,jcd,rno,lane,racer_id,st,tenji_st,course_avg_st,st_rank,power_lane
20240226,08,6,3,5135,0.2,0.2,0.15,4,11.539
20240226,08,6,4,5211,0.2,0.18,0.18,3,10.003999999999998
20240226,08,6,5,4604,0.2,0.1,0.16,1,16.683999999999997
20240226,08,6,6,3546,0.2,0.21,0.18,5,11.955
20240226,08,7,1,4592,0.23,0.11,0.16,1,15.484
20240226,08,7,2,5175,0.27,0.51,0.2,4,19.216
20240226,08,7,3,3918,0.23,0.11,0.17,1,13.008999999999999
20240226,08,7,4,4128,0.22,0.3,0.15,3,15.904999999999998
20240226,08,7,5,4362,0.19,0.13,0.14,2,22.338
20240226,08,7,6,3682,0.16,0.3,0.23,3,15.004999999999999
20240226,08,8,1,5167,0.19,0.0004,0.14,3,10.924999999999999
20240226,08,8,2,3863,0.25,0.0002,0.14,1,15.895
20240226,08,8,3,4003,0.57,0.0003,0.17,2,13.773
